Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=E7BDC6600B1CE45B30CC3EF1AEDD079B?SERIES_KEY=120.EXR.D.HUF.EUR.SP00.A&start=01-01-1999&end=18-08-2022&submitOptions.x=0&submitOptions.y=0&trans=N
;EXR.D.HUF.EUR.SP00.A
;ECB reference exchange rate, Hungarian forint/Euro, 2:15 pm (C.E.T.)
Collection:;Average of observations through period (A)
Period\Unit:;[Hungarian forint ]
;;obs. status;obs. comment
2009-01-26;285,41;Normal value (A);
2009-01-23;289,85;Normal value (A);
2009-01-22;282,76;Normal value (A);
2009-01-21;284,58;Normal value (A);
2009-01-20;287,15;Normal value (A);
2009-01-19;283,55;Normal value (A);
2009-01-16;277,90;Normal value (A);
2009-01-15;281,45;Normal value (A);
2009-01-14;277,45;Normal value (A);
2009-01-13;277,73;Normal value (A);
2009-01-12;279,40;Normal value (A);
2009-01-09;276,13;Normal value (A);
2009-01-08;271,77;Normal value (A);
2009-01-07;266,14;Normal value (A);
2009-01-06;266,67;Normal value (A);
2009-01-05;267,13;Normal value (A);
2009-01-02;265,48;Normal value (A);
2009-01-01;-;Missing value; holiday or weekend (H);
2008-12-31;266,70;Normal value (A);
2008-12-30;266,33;Normal value (A);
2008-12-29;266,64;Normal value (A);
2008-12-26;-;Missing value; holiday or weekend (H);
2008-12-25;-;Missing value; holiday or weekend (H);
2008-12-24;267,76;Normal value (A);
2008-12-23;264,60;Normal value (A);
2008-12-22;266,12;Normal value (A);
2008-12-19;265,84;Normal value (A);
2008-12-18;268,61;Normal value (A);
2008-12-17;265,05;Normal value (A);
2008-12-16;268,38;Normal value (A);
2008-12-15;266,74;Normal value (A);
2008-12-12;264,50;Normal value (A);
2008-12-11;264,45;Normal value (A);
2008-12-10;263,75;Normal value (A);
2008-12-09;263,28;Normal value (A);
2008-12-08;264,45;Normal value (A);
2008-12-05;265,32;Normal value (A);
2008-12-04;261,00;Normal value (A);
2008-12-03;262,33;Normal value (A);
2008-12-02;261,35;Normal value (A);
2008-12-01;262,20;Normal value (A);
2008-11-28;259,56;Normal value (A);
2008-11-27;261,65;Normal value (A);
2008-11-26;260,08;Normal value (A);
2008-11-25;262,30;Normal value (A);
2008-11-24;263,50;Normal value (A);
2008-11-21;266,78;Normal value (A);
2008-11-20;269,94;Normal value (A);
2008-11-19;271,00;Normal value (A);
2008-11-18;271,09;Normal value (A);
2008-11-17;268,50;Normal value (A);
2008-11-14;270,55;Normal value (A);
2008-11-13;269,75;Normal value (A);
2008-11-12;271,00;Normal value (A);
2008-11-11;266,66;Normal value (A);
2008-11-10;265,51;Normal value (A);
2008-11-07;269,00;Normal value (A);
2008-11-06;261,94;Normal value (A);
2008-11-05;259,30;Normal value (A);
2008-11-04;259,86;Normal value (A);
2008-11-03;258,36;Normal value (A);
2008-10-31;261,43;Normal value (A);
2008-10-30;257,24;Normal value (A);
2008-10-29;256,05;Normal value (A);
2008-10-28;262,00;Normal value (A);
2008-10-27;271,03;Normal value (A);
2008-10-24;277,00;Normal value (A);
2008-10-23;284,00;Normal value (A);
2008-10-22;275,55;Normal value (A);
2008-10-21;274,78;Normal value (A);
2008-10-20;268,27;Normal value (A);
2008-10-17;268,50;Normal value (A);
2008-10-16;266,00;Normal value (A);
2008-10-15;263,00;Normal value (A);
2008-10-14;250,00;Normal value (A);
2008-10-13;253,00;Normal value (A);
2008-10-10;261,05;Normal value (A);
2008-10-09;252,98;Normal value (A);
2008-10-08;251,95;Normal value (A);
2008-10-07;249,13;Normal value (A);
2008-10-06;248,88;Normal value (A);
2008-10-03;246,10;Normal value (A);
2008-10-02;243,88;Normal value (A);
2008-10-01;241,65;Normal value (A);
2008-09-30;242,83;Normal value (A);
2008-09-29;242,62;Normal value (A);
2008-09-26;240,65;Normal value (A);
2008-09-25;240,75;Normal value (A);
2008-09-24;241,34;Normal value (A);
2008-09-23;240,70;Normal value (A);
2008-09-22;239,93;Normal value (A);
2008-09-19;239,96;Normal value (A);
2008-09-18;242,15;Normal value (A);
2008-09-17;241,89;Normal value (A);
2008-09-16;243,30;Normal value (A);
2008-09-15;240,92;Normal value (A);
2008-09-12;239,60;Normal value (A);
2008-09-11;241,16;Normal value (A);
2008-09-10;241,39;Normal value (A);
2008-09-09;239,23;Normal value (A);
2008-09-08;241,10;Normal value (A);
2008-09-05;241,95;Normal value (A);
2008-09-04;238,73;Normal value (A);
2008-09-03;238,85;Normal value (A);
2008-09-02;238,24;Normal value (A);
2008-09-01;237,70;Normal value (A);
2008-08-29;237,68;Normal value (A);
2008-08-28;238,56;Normal value (A);
2008-08-27;235,71;Normal value (A);
2008-08-26;236,60;Normal value (A);
2008-08-25;233,93;Normal value (A);
2008-08-22;233,68;Normal value (A);
2008-08-21;233,88;Normal value (A);
2008-08-20;234,66;Normal value (A);
2008-08-19;235,78;Normal value (A);
2008-08-18;236,82;Normal value (A);
2008-08-15;239,45;Normal value (A);
2008-08-14;237,28;Normal value (A);
2008-08-13;237,14;Normal value (A);
2008-08-12;236,47;Normal value (A);
2008-08-11;236,71;Normal value (A);
2008-08-08;236,08;Normal value (A);
2008-08-07;234,20;Normal value (A);
2008-08-06;236,28;Normal value (A);
2008-08-05;235,13;Normal value (A);
2008-08-04;233,74;Normal value (A);
2008-08-01;233,76;Normal value (A);
2008-07-31;231,26;Normal value (A);
2008-07-30;231,72;Normal value (A);
2008-07-29;230,76;Normal value (A);
2008-07-28;230,87;Normal value (A)
